original,label,antonym_raw,add_not_raw,antonym,add_not
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) recall on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,Finnish automation solutions don't developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) recalls on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,Finnish automation solutions don't developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",negative,"Sales in Finland increase by 10.5 % in January , while sales outside Finland dropped by 17 % .","Sales in Finland not decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .","Sales in Finland increased by 10.5 % in January, while sales outside Finland dropped by 17 %.","Sales in Finland decreased by 10.5 % in January, while sales outside Finland dropped by 17 %."
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,positive,debit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) didn't say today it concluded a EUR74m revolving credit facility agreement with its core banks .,Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) today concluded a EUR74m revolving credit facility agreement with its core banks.,"Today, Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) didn't say it concluded a EUR74m revolving credit facility agreement with its core banks."
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive,"VDW combined with LXE devices enhances unproductiveness , enabling workers to use a single device to perform voice , scanning and keyboard functions .","VDW didn't combine with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .","VDW combined with LXE devices enhances unproductiveness, enabling workers to use a single device to perform voice , scanning and keyboard functions.","VDW didn't combine with LXE devices enhances productivity, enabling workers to use a single device to perform voice , scanning and keyboard functions."
"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a gross profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V didn't say today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","PON1V said today that it expects to swing to a gross profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier.","PON1V didn't say today that it expects to swing to a net profit of around EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier."
"Last month , Outokumpu sold more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .",positive,"Last month , Outokumpu buy more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .","Last month , Outokumpu didn't sell more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .","Last month, Outokumpu bought more than 80 percent of its technology unit, Outokumpu Technology Oyj , to further its strategic goal of becoming the world's largest stainless steel maker.","Last month, Outokumpu didn't sell more than 80 percent of its technology unit, Outokumpu Technology Oyj , to further its strategic goal of becoming the world's largest stainless steel maker."
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,negative,Finnish glass technology company Glaston Oyj Abp gross profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,Finnish glass technology company Glaston Oyj Abp net profit didn't decrease to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,Finnish glass technology company Glaston Oyj Abp's gross profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,Finnish glass technology company Glaston Oyj Abp net profit didn't decrease to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,The economic occupancy rate of Sponda 's property portfolio fall to 91.2 % from 88.8 % in 2006 .,The economic occupancy rate of Sponda 's property portfolio didn't rise to 91.2 % from 88.8 % in 2006 .,The economic occupancy rate of Sponda's property portfolio fell to 91.2 % from 88.8 % in 2006 .,The economic occupancy rate of Sponda's property portfolio didn't rise to 91.2 % from 88.8 % in 2006 .
This new partnership agreement represents a significant milestone for both parties .,positive,This old partnership agreement represents a significant milestone for both parties .,This new partnership agreement doesn't represent a significant milestone for both parties .,This old partnership agreement represents a significant milestone for both parties.,This new partnership agreement doesn't represent a significant milestone for both parties.
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",negative,"However , its market share stretch to 47.59 per cent from 48 per cent a year earlier .","However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .","However, its market share stretch to 47.59 per cent from 48 per cent a year earlier.","However, its market share shrank to 47.59 per cent from 48 per cent a year earlier."
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,The acquisition will considerably decrease Kemira 's sales and market position in the Russian metal industry coatings market .,The acquisition will considerably not increase Kemira 's sales and market position in the Russian metal industry coatings market .,The acquisition will considerably decrease Kemira's sales and market position in the Russian metal industry coatings market.,The acquisition will considerably not increase Kemira's sales and market position in the Russian metal industry coatings market.
"Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .",positive,"Jarmo Honkamaa , rear of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .","Jarmo Honkamaa , head of the oil refining business at Neste Oil , doesn't say the situation looks promising from their viewpoint .","Jarmo Honkamaa , the rear of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint.","Jarmo Honkamaa , head of the oil refining business at Neste Oil , doesn't say the situation looks promising from their viewpoint."
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,positive,Earnings per share EPS fall to EUR 0.11 from EUR 0.03 .,Earnings per share EPS didn't rise to EUR 0.11 from EUR 0.03 .,Earnings per share EPS fall to EUR 0.11 from EUR 0.03 .,Earnings per share EPS didn't rise to EUR 0.11 from EUR 0.03 .
Scanfil has also issued a profit warning .,negative,Scanfil has also recall a profit warning .,Scanfil doesn't have also issued a profit warning .,Scanfil has also recall a profit warning.,Scanfil doesn't have also issued a profit warning.
EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,positive,EuroChem CFO Andrey Ilyin said : `` This facility ignore another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects `` .,EuroChem CFO Andrey Ilyin didn't say : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects `` .,This facility ignores another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects.,This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects.
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its gross loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS didn't say today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,Finnish measuring equipment maker Vaisala Oyj HEL today said its gross loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier.,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS didn't say today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier.
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,LONDON MarketWatch -- Nokia nok said it 's won a five-year disservice contract to run Hutchison Essar 's network operations in nine locations in India .,LONDON MarketWatch -- Nokia nok didn't say it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,Nokia nok said it 's won a five-year disservice contract to run Hutchison Essar's network operations in nine locations in India.,Nokia didn't say it won a five-year services contract to run Hutchison Essar's network operations in nine locations in India.
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",negative,"The period 's sales sharpen to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .","The period 's sales didn't drop to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .","The period's sales sharpen to EUR 30.6 million from EUR 38.3 million, according to the interim report released today.","The period's sales didn't drop to EUR 30.6 million from EUR 38.3 million, according to the interim report released today."
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,positive,Operating profit fall from EUR 1.94 mn to EUR 2.45 mn .,Operating profit didn't rise from EUR 1.94 mn to EUR 2.45 mn .,Operating profit fell from EUR 1.94 mn to EUR 2.45 mn.,Operating profit didn't rise from EUR 1.94 mn to EUR 2.45 mn.
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) flexion to their existing consultancy engineering contract with Venezuel","( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) didn't say today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",Finland's consulting and engineering company Poyry Oyj ( OMX : POY1V ) today announced it has been awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel.,"Today, Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) didn't say it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel."
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .","Profit after taxes for the period wasn't up to EUR0 .9 m , from EUR0 .01 m last year .","Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year.","Profit after taxes for the period wasn't up to EUR0 .9 m , from EUR0 .01 m last year."
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",positive,"Finnish energy company Fortum Oyj said on November 13 , 2007 it was deny an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .","Finnish energy company Fortum Oyj didn't say on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",Finnish energy company Fortum Oyj denied an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm.,"Finnish energy company Fortum Oyj didn't say on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm."
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,"Both operating profit and turnover for the three-month period decrease , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .","Both operating profit and turnover for the three-month period didn't increase , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .","Both operating profit and turnover for the three-month period decreased, respectively from EUR0 .9 m and EUR8 .3 m, as compared to the corresponding period in 2005.","Both operating profit and turnover for the three-month period didn't increase, respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005."
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",positive,"For the first nine months of 2010 , Talvivaara 's gross loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .","For the first nine months of 2010 , Talvivaara 's net loss not narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .","For the first nine months of 2010, Talvivaara's gross loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009.","For the first nine months of 2010, Talvivaara's net loss not narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ."
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",negative,"Currently , the company foresees its pre-tax profit to change below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .","Currently , the company doesn't foresee its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .","Currently, the company foresees its pre-tax profit to change below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit.","Currently, the company doesn't foresee its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit."
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .","Operating profit wasn't EUR 139.7 mn , up 23 % from EUR 113.8 mn .","Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .","Operating profit wasn't EUR 139.7 mn , up 23 % from EUR 113.8 mn ."
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,The company slipped to an operating gain of EUR 2.6 million from a profit of EUR 1.3 million .,The company didn't slip to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,The company slipped to an operating gain of EUR 2.6 million from a profit of EUR 1.3 million.,The company didn't slip to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million.
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,"gross sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .","Net sales didn't totale EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .","Gross sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005.","Net sales didn't total EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005."
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",positive,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the demand of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .","Neste Oil Corp. doesn't have signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .","Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the demand of animal fat for biodiesel production at Neste's 200,000 b-cd Porvoo, Finland , refinery.","Neste Oil Corp. doesn't have signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste's 200,000 b-cd Porvoo, Finland , refinery."
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",positive,"ignore as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .","not Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",The concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises to provide financial services to the people.,The concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises to provide financial services to the people.
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,positive,Diluted gain per share stood at EUR 0.15 versus EUR 0.26 .,not Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,Diluted gain per share stood at EUR 0.15 versus EUR 0.26 .,Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,decrease trust of our clients in YIT can be seen as apartment sales accelerated .,not Increased trust of our clients in YIT can be seen as apartment sales accelerated .,The decrease in trust of our clients in YIT can be seen as apartment sales accelerated.,Increased trust of our clients in YIT can be seen as apartment sales accelerated.
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,"Investors will discontinue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .","Investors will not continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .","Investors will discontinue being interested in the company's share although it is not quite cheap, said Affarsvarlden.","Investors will not continue to be interested in the company's share although it is not quite cheap, said Affarsvarlden."
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,negative,Ruukki Group calculates that it has keep EUR 4mn in the failed project .,Ruukki Group doesn't calculate that it has lost EUR 4mn in the failed project .,Ruukki Group calculates that it has kept EUR 4mn in the failed project.,Ruukki Group doesn't calculate that it has lost EUR 4mn in the failed project.
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive,"Operating profit was EUR 9.8 mn , compared to a gain of EUR 12.7 mn in the corresponding period in 2009 .","Operating profit wasn't EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .","Operating profit was EUR 9.8 mn , compared to a gain of EUR 12.7 mn in the corresponding period in 2009 .",Operating profit wasn't EUR 9.8 mn compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,negative,Finnish meat company Atria can no longer promise a insufficient amount of domestic beef to its customers .,Finnish meat company Atria can no longer not promise a sufficient amount of domestic beef to its customers .,Finnish meat company Atria can no longer promise a insufficient amount of domestic beef to its customers.,Finnish meat company Atria can no longer not promise a sufficient amount of domestic beef to its customers.
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative,gain for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,Loss for the period didn't total EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,The gain for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,Loss for the period didn't total EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .
This combined with foreign investments creates interesting opportunities for Solteq .,positive,This combined with domestic investments creates interesting opportunities for Solteq .,This not combined with foreign investments creates interesting opportunities for Solteq .,This combined with domestic investments creates interesting opportunities for Solteq.,This not combined with foreign investments creates interesting opportunities for Solteq.
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , prosecute a decrease of 6 % .","Agricultural newspaper Maaseudun Tulevaisuus didn't have 318,000 readers , representing a decrease of 6 % .","Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , a decrease of 6 %.","Agricultural newspaper Maaseudun Tulevaisuus didn't have 318,000 readers , representing a decrease of 6 % ."
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",positive,"Shares of Standard Chartered ( STAN ) fall 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Shares of Standard Chartered ( STAN ) didn't rise 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Shares of Standard Chartered ( STAN ) fall 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %.","Shares of Standard Chartered ( STAN ) didn't rise 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %."
